93;49;213;13
181;142;71;11
37;237;180;127
246;72;247;141
194;251;205;40
151;136;245;221
53;112;180;249
191;132;109;65
8;55;108;155
245;186;173;224
78;227;226;182
32;56;134;241
234;190;229;189
165;229;4;91
183;213;251;201
166;100;142;207
107;146;12;29
229;186;119;203
154;186;123;74
85;42;73;178
168;253;66;179
6;91;44;170
151;93;212;246
93;204;60;119
44;123;191;27
81;128;181;159
130;33;240;183
81;29;92;197
145;56;119;96
52;246;183;91
23;46;92;69
127;191;126;162
188;41;149;179
174;190;164;60
119;66;238;110
254;97;256;209
228;200;60;137
206;141;152;179
4;3;12;96
219;223;210;193
39;175;8;160
252;203;41;68
241;140;157;76
184;108;43;61
190;164;220;188
3;109;168;36
11;248;217;219
65;253;35;172
16;254;134;235
151;129;25;28
106;77;46;59
211;164;47;256
200;13;106;219
12;129;196;126
32;135;216;12
211;200;37;195
178;136;164;201
45;95;203;76
78;159;28;172
135;37;110;129
147;43;67;137
12;20;83;41
174;203;122;251
182;74;246;22
229;85;175;162
4;96;78;114
203;5;85;240
67;122;252;88
91;127;88;155
192;64;40;105
109;203;214;31
86;169;82;65
144;25;166;227
137;211;52;160
141;254;72;130
6;64;121;120
119;211;40;247
164;197;163;64
15;70;204;81
84;85;87;60
144;229;162;115
85;187;204;239
186;6;110;254
123;209;100;156
100;13;154;203
148;157;72;228
150;103;97;94
146;220;144;86
253;242;225;202
61;27;108;154
52;80;107;239
16;38;104;178
179;106;65;232
101;232;95;180
93;156;162;178
168;4;150;255
57;244;211;196
201;254;81;145
198;241;165;186
206;167;61;204
172;25;120;234
106;197;226;39
183;252;113;130
178;71;229;83
197;233;93;164
96;116;32;218
80;75;129;162
166;132;85;251
40;70;247;51
93;247;88;108
211;239;7;166
61;209;184;31
135;18;81;48
89;21;156;17
157;10;200;32
238;235;124;77
4;163;47;203
45;193;25;24
119;205;214;55
249;38;247;158
79;26;182;188
51;142;117;147
98;124;93;236
186;138;187;54
28;160;36;146
86;184;89;234
117;26;30;19
44;57;90;101
8;19;58;37
48;119;251;72
60;243;257;19
243;110;211;254
27;104;185;96
144;80;60;57
239;59;232;94
46;217;9;124
134;83;80;106
255;83;175;248
178;112;55;195
206;197;204;229
222;138;132;37
73;114;185;45
30;26;53;225
227;71;234;97
73;183;85;147
73;56;171;16
122;73;100;178
184;217;114;147
85;120;101;63
68;118;161;245
179;127;215;248
121;213;225;63
170;247;230;75
154;67;50;130
49;209;112;75
68;102;119;121
72;105;204;71
14;92;166;48
13;153;156;78
209;109;111;53
121;255;130;149
223;169;92;251
164;107;132;9
201;249;126;52
192;228;148;244
171;100;9;148
190;30;9;79
212;134;202;156
49;5;104;115
184;12;141;77
166;236;242;256
22;43;216;5
115;203;17;114
60;195;169;103
76;99;151;96
170;193;122;219
241;37;75;181
228;67;42;99
37;63;124;39
98;179;147;29
135;225;53;126
167;154;197;52
160;21;82;108
85;16;136;221
149;207;213;81
199;143;138;249
164;45;84;161
148;80;188;252
135;115;46;12
135;77;209;8
95;152;111;250
